alert tcp $HOME_NET any -> any 3689: 		/server-
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		.onfocus
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		.onfocus
alert tcp any any -> $SMTP_SERVERS 25: 		.onfocus
alert tcp any any -> $SMTP_SERVERS 25: 		.onfocus
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		document
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		|3C|body on
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		|3C|body on
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		document
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		initMuta
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		for=|22|doc
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		document
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		.content
alert tcp any any -> $HOME_NET 25: 		.content
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		mstime_m
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		mstime_m
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		thead
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		<ruby>
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		<ruby>
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		.execCom
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		onreadys
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		.onfocus
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		.onfocus
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		window.n
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		contente
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		.createC
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		.execCom
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		.execCom
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		 documen
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		execComm
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		body.con
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		body.con
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		beforeed
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		<marquee
alert tcp $EXTERNAL_NET any -> $HOME_NET 25: 		<marquee
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		.deleteR
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		.deleteR
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		all_elem
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		all_elem
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		.removeC
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		.removeC
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		.removeC
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		oncontro
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		onbefore
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		onbefore
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		oncontro
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		getEleme
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		getEleme
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		<clipPat
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		<clipPat
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		<clipPat
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		<clipPat
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		document
alert tcp any any -> $SMTP_SERVERS 25: 		document
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		<marquee
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		<marquee
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		word-wra
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		style.fo
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		style.fo
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		document
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		<body> <
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		.createT
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		.createT
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		|22|div|3A|fir
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		|22|div|3A|fir
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		.attachE
